                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.05474,                0.93344,                      1,                    nan,             0.00023533,             0.00023533,             0.00023533
                      1,                 0.0113,                0.93502,                      1,                    nan,             0.00046864,             0.00046864,             0.00046864
                      2,                0.00837,                0.95563,                      1,                    nan,             0.00069724,             0.00069724,             0.00069724
                      3,                0.00757,                0.94612,                      1,                    nan,             0.00069279,             0.00069279,             0.00069279
                      4,                0.01238,                0.94136,                      1,                    nan,             0.00069279,             0.00069279,             0.00069279
                      5,                0.00831,                0.94612,                      1,                    nan,             0.00068573,             0.00068573,             0.00068573
                      6,                0.01054,                 0.9477,                      1,                    nan,             0.00067866,             0.00067866,             0.00067866
                      7,                0.00129,                0.96197,                      1,                    nan,             0.00067159,             0.00067159,             0.00067159
                      8,                0.00066,                0.93978,                      1,                    nan,             0.00066452,             0.00066452,             0.00066452
                      9,                0.00068,                0.96355,                      1,                    nan,             0.00065745,             0.00065745,             0.00065745
                     10,                0.00063,                0.96197,                      1,                    nan,             0.00065038,             0.00065038,             0.00065038
                     11,                 0.0002,                0.96355,                      1,                    nan,             0.00064331,             0.00064331,             0.00064331
                     12,                0.00029,                0.96355,                      1,                    nan,             0.00063625,             0.00063625,             0.00063625
                     13,                0.00023,                0.94136,                      1,                    nan,             0.00062918,             0.00062918,             0.00062918
                     14,                0.00015,                0.95087,                      1,                    nan,             0.00062211,             0.00062211,             0.00062211
                     15,                  8e-05,                0.94929,                      1,                    nan,             0.00061504,             0.00061504,             0.00061504
                     16,                  2e-05,                0.96513,                      1,                    nan,             0.00060797,             0.00060797,             0.00060797
                     17,                  4e-05,                0.95563,                      1,                    nan,              0.0006009,              0.0006009,              0.0006009
                     18,                  1e-05,                0.96038,                      1,                    nan,             0.00059383,             0.00059383,             0.00059383
                     19,                  2e-05,                0.96513,                      1,                    nan,             0.00058677,             0.00058677,             0.00058677
                     20,                  2e-05,                 0.9588,                      1,                    nan,              0.0005797,              0.0005797,              0.0005797
                     21,                  1e-05,                0.96513,                      1,                    nan,             0.00057263,             0.00057263,             0.00057263
                     22,                  2e-05,                0.95563,                      1,                    nan,             0.00056556,             0.00056556,             0.00056556
                     23,                  3e-05,                0.96672,                      1,                    nan,             0.00055849,             0.00055849,             0.00055849
                     24,                  2e-05,                0.95721,                      1,                    nan,             0.00055142,             0.00055142,             0.00055142
                     25,                  2e-05,                0.96513,                      1,                    nan,             0.00054435,             0.00054435,             0.00054435
                     26,                  1e-05,                0.95721,                      1,                    nan,             0.00053728,             0.00053728,             0.00053728
                     27,                  1e-05,                 0.9588,                      1,                    nan,             0.00053022,             0.00053022,             0.00053022
                     28,                  1e-05,                 0.9588,                      1,                    nan,             0.00052315,             0.00052315,             0.00052315
                     29,                      0,                0.96038,                      1,                    nan,             0.00051608,             0.00051608,             0.00051608
                     30,                  1e-05,                0.95721,                      1,                    nan,             0.00050901,             0.00050901,             0.00050901
                     31,                  1e-05,                0.95721,                      1,                    nan,             0.00050194,             0.00050194,             0.00050194
                     32,                  4e-05,                 0.9683,                      1,                    nan,             0.00049487,             0.00049487,             0.00049487
                     33,                  1e-05,                0.96989,                      1,                    nan,              0.0004878,              0.0004878,              0.0004878
                     34,                  1e-05,                 0.9683,                      1,                    nan,             0.00048074,             0.00048074,             0.00048074
                     35,                  1e-05,                0.96355,                      1,                    nan,             0.00047367,             0.00047367,             0.00047367
                     36,                  1e-05,                0.96197,                      1,                    nan,              0.0004666,              0.0004666,              0.0004666
                     37,                  1e-05,                0.96355,                      1,                    nan,             0.00045953,             0.00045953,             0.00045953
                     38,                 0.0001,                0.95404,                      1,                    nan,             0.00045246,             0.00045246,             0.00045246
                     39,                  2e-05,                0.96513,                      1,                    nan,             0.00044539,             0.00044539,             0.00044539
                     40,                      0,                 0.9683,                      1,                    nan,             0.00043832,             0.00043832,             0.00043832
                     41,                  1e-05,                0.97147,                      1,                    nan,             0.00043126,             0.00043126,             0.00043126
                     42,                  2e-05,                0.96038,                      1,                    nan,             0.00042419,             0.00042419,             0.00042419
                     43,                  2e-05,                 0.9588,                      1,                    nan,             0.00041712,             0.00041712,             0.00041712
                     44,                      0,                 0.9588,                      1,                    nan,             0.00041005,             0.00041005,             0.00041005
                     45,                      0,                0.96038,                      1,                    nan,             0.00040298,             0.00040298,             0.00040298
                     46,                  1e-05,                0.96197,                      1,                    nan,             0.00039591,             0.00039591,             0.00039591
                     47,                  3e-05,                0.95404,                      1,                    nan,             0.00038884,             0.00038884,             0.00038884
                     48,                  3e-05,                0.96513,                      1,                    nan,             0.00038178,             0.00038178,             0.00038178
                     49,                  1e-05,                0.96513,                      1,                    nan,             0.00037471,             0.00037471,             0.00037471
                     50,                  1e-05,                0.96197,                      1,                    nan,             0.00036764,             0.00036764,             0.00036764
                     51,                  2e-05,                 0.9588,                      1,                    nan,             0.00036057,             0.00036057,             0.00036057
                     52,                  1e-05,                0.96197,                      1,                    nan,              0.0003535,              0.0003535,              0.0003535
                     53,                      0,                0.96038,                      1,                    nan,             0.00034643,             0.00034643,             0.00034643
                     54,                      0,                0.95404,                      1,                    nan,             0.00033936,             0.00033936,             0.00033936
                     55,                0.00264,                0.94453,                      1,                    nan,              0.0003323,              0.0003323,              0.0003323
                     56,                0.00878,                 0.9588,                      1,                    nan,             0.00032523,             0.00032523,             0.00032523
                     57,                0.00258,                0.95087,                      1,                    nan,             0.00031816,             0.00031816,             0.00031816
                     58,                0.01052,                0.94295,                      1,                    nan,             0.00031109,             0.00031109,             0.00031109
                     59,                0.00112,                0.95721,                      1,                    nan,             0.00030402,             0.00030402,             0.00030402
                     60,                0.00078,                0.96038,                      1,                    nan,             0.00029695,             0.00029695,             0.00029695
                     61,                0.00031,                0.96513,                      1,                    nan,             0.00028988,             0.00028988,             0.00028988
                     62,                0.00034,                0.95246,                      1,                    nan,             0.00028282,             0.00028282,             0.00028282
                     63,                  8e-05,                0.95721,                      1,                    nan,             0.00027575,             0.00027575,             0.00027575
                     64,                  8e-05,                0.96197,                      1,                    nan,             0.00026868,             0.00026868,             0.00026868
                     65,                  6e-05,                0.96513,                      1,                    nan,             0.00026161,             0.00026161,             0.00026161
                     66,                0.00015,                0.96197,                      1,                    nan,             0.00025454,             0.00025454,             0.00025454
                     67,                  3e-05,                0.96355,                      1,                    nan,             0.00024747,             0.00024747,             0.00024747
                     68,                 0.0001,                0.96197,                      1,                    nan,              0.0002404,              0.0002404,              0.0002404
                     69,                  3e-05,                0.96513,                      1,                    nan,             0.00023334,             0.00023334,             0.00023334
                     70,                  3e-05,                0.96513,                      1,                    nan,             0.00022627,             0.00022627,             0.00022627
                     71,                0.00013,                0.96355,                      1,                    nan,              0.0002192,              0.0002192,              0.0002192
                     72,                0.00015,                0.96355,                      1,                    nan,             0.00021213,             0.00021213,             0.00021213
                     73,                  1e-05,                 0.9683,                      1,                    nan,             0.00020506,             0.00020506,             0.00020506
                     74,                  2e-05,                0.96355,                      1,                    nan,             0.00019799,             0.00019799,             0.00019799
                     75,                  1e-05,                0.96513,                      1,                    nan,             0.00019092,             0.00019092,             0.00019092
                     76,                  1e-05,                0.97147,                      1,                    nan,             0.00018385,             0.00018385,             0.00018385
                     77,                  1e-05,                 0.9683,                      1,                    nan,             0.00017679,             0.00017679,             0.00017679
                     78,                  1e-05,                 0.9683,                      1,                    nan,             0.00016972,             0.00016972,             0.00016972
                     79,                  2e-05,                 0.9683,                      1,                    nan,             0.00016265,             0.00016265,             0.00016265
                     80,                  4e-05,                0.97147,                      1,                    nan,             0.00015558,             0.00015558,             0.00015558
                     81,                  2e-05,                0.96355,                      1,                    nan,             0.00014851,             0.00014851,             0.00014851
                     82,                  2e-05,                0.96038,                      1,                    nan,             0.00014144,             0.00014144,             0.00014144
                     83,                  6e-05,                0.96355,                      1,                    nan,             0.00013437,             0.00013437,             0.00013437
                     84,                0.00037,                0.96513,                      1,                    nan,             0.00012731,             0.00012731,             0.00012731
                     85,                0.00043,                 0.9683,                      1,                    nan,             0.00012024,             0.00012024,             0.00012024
                     86,                  1e-05,                 0.9683,                      1,                    nan,             0.00011317,             0.00011317,             0.00011317
                     87,                  2e-05,                 0.9683,                      1,                    nan,              0.0001061,              0.0001061,              0.0001061
                     88,                  2e-05,                 0.9683,                      1,                    nan,             9.9032e-05,             9.9032e-05,             9.9032e-05
                     89,                  1e-05,                0.96989,                      1,                    nan,             9.1963e-05,             9.1963e-05,             9.1963e-05
                     90,                  3e-05,                0.96672,                      1,                    nan,             8.4895e-05,             8.4895e-05,             8.4895e-05
                     91,                  2e-05,                0.97147,                      1,                    nan,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     92,                      0,                0.96989,                      1,                    nan,             7.0757e-05,             7.0757e-05,             7.0757e-05
                     93,                  1e-05,                 0.9683,                      1,                    nan,             6.3689e-05,             6.3689e-05,             6.3689e-05
                     94,                  1e-05,                0.97623,                      1,                    nan,              5.662e-05,              5.662e-05,              5.662e-05
                     95,                  1e-05,                0.96672,                      1,                    nan,             4.9552e-05,             4.9552e-05,             4.9552e-05
                     96,                  3e-05,                0.97147,                      1,                    nan,             4.2483e-05,             4.2483e-05,             4.2483e-05
                     97,                  1e-05,                 0.9683,                      1,                    nan,             3.5414e-05,             3.5414e-05,             3.5414e-05
                     98,                  1e-05,                0.96513,                      1,                    nan,             2.8346e-05,             2.8346e-05,             2.8346e-05
                     99,                  1e-05,                0.97147,                      1,                    nan,             2.1277e-05,             2.1277e-05,             2.1277e-05
